Building_Type,Year_Built,Floor_Area_m2,Orientation,Material,Insulation_Level,insulation_binary,Solar_Potential_kWh_m2,Wind_Potential_m_s,Geothermal_Potential,Energy_Demand_kWh,Installation_Area_m2,Carbon_Reduction_%,Payback_Period_Years,Optimal_Solar_Utilization_%
Brick_Cottage,1896,179,West,Thatch,Low,Low,4.296983818,2.628367309,1.021673605,13990,56,33.06940586,6.008727741,13.09329549
Brick_Cottage,1832,280,South,Timber,High,High,3.679845766,3.248788342,0.532468342,17762,86,23.40309503,11.82274888,23.49405161
Wooden_House,1958,119,South,Stone,Medium,High,4.005425925,3.069713978,0.63766641,19736,62,24.18476875,9.227117383,13.64709471
Thatched_Hut,1722,194,East,Thatch,Low,Low,5.750220805,4.735177631,1.521429937,18750,98,29.30728668,10.1448808,27.45368236
Wooden_House,1752,172,North,Timber,Medium,High,6.560641315,2.120866837,1.818986695,17141,71,13.24232481,5.773385396,15.69623438
Wooden_House,1864,138,South,Thatch,Low,Low,7.261676829,3.536644123,1.271340517,5604,75,23.08733345,11.03472851,19.164827
Stone_Villa,1901,298,North,Timber,Low,Low,3.563292688,4.041438388,1.308786619,7979,95,39.15852536,10.8743464,17.72740043
Stone_Villa,1782,77,West,Timber,Low,Low,5.591040566,4.795093921,0.882640149,12140,87,11.1265696,9.570949121,19.61273852
Stone_Villa,1844,115,South,Stone,Low,Low,5.383469425,3.861113756,1.651814545,12065,28,19.48014169,8.515924052,9.905984177
Brick_Cottage,1784,212,East,Thatch,Medium,High,6.124220088,4.411265708,1.627691881,9916,42,19.42329457,10.05042421,8.737405652
Thatched_Hut,1777,278,East,Stone,Medium,High,5.738315418,2.251174814,1.382548534,11800,82,29.00392358,5.041497507,21.95062233
Thatched_Hut,1700,54,East,Timber,Low,Low,6.248156602,3.157818533,0.81899643,5597,80,13.17401078,9.147085288,20.08374004
Thatched_Hut,1750,242,South,Brick,Low,Low,6.132330339,3.121841403,0.645527327,14724,59,28.85632093,10.93184294,17.43428946
Thatched_Hut,1872,217,North,Thatch,Medium,High,3.968046899,4.658864649,0.596357864,12320,63,12.85120722,7.49829921,17.13351755
Stone_Villa,1904,253,West,Brick,High,High,6.698871654,2.454113514,1.3890441,13705,43,12.84860942,5.758025495,10.1960841
Brick_Cottage,1959,233,North,Thatch,High,High,3.992930303,2.455658517,1.737552979,10622,70,31.84550072,7.946140748,18.26955664
Brick_Cottage,1987,213,North,Stone,Medium,High,6.294122501,2.98567445,1.787495648,6877,77,19.72405521,10.08973114,23.31731084
Stone_Villa,1733,94,West,Stone,Low,Low,5.164581471,2.163398142,1.195433112,17164,52,39.32268843,5.751108473,19.74577959
Brick_Cottage,1794,200,West,Stone,Low,Low,5.555402938,2.547374122,1.676406949,17035,35,11.12058809,6.442339921,14.12794658
Stone_Villa,1771,96,South,Stone,High,High,7.113192058,4.895628916,1.920320295,6699,41,23.35319991,6.032862928,11.74670742
Thatched_Hut,1738,80,South,Stone,High,High,7.059534906,3.28455182,0.912755169,14221,76,13.39407813,10.57863429,20.82272947
Stone_Villa,1853,188,South,Brick,Medium,High,6.771425223,3.896057625,1.09694052,17787,81,20.541369,5.440248357,21.75077936
Thatched_Hut,1949,59,South,Stone,High,High,5.540593522,4.178333778,1.897218489,10780,90,39.94667352,9.806105515,18.63109384
Thatched_Hut,1861,244,South,Timber,Medium,High,6.444959241,3.100884221,1.007346451,5716,91,36.66527535,7.565198445,26.81577136
Wooden_House,1817,167,West,Timber,High,High,5.551588222,2.441681223,1.870814435,18429,89,11.44973227,10.2905387,21.43367236
Stone_Villa,1958,63,North,Brick,High,High,6.97842433,2.619743049,1.971567293,18796,49,26.89767531,11.75068393,10.61801651
Wooden_House,1967,129,South,Thatch,High,High,5.111103333,2.93979943,1.492716093,9086,42,29.43466914,5.801817097,8.536040736
Stone_Villa,1753,251,South,Timber,Low,Low,7.380941378,3.908205261,1.725335434,19936,51,16.28603872,7.200695287,17.44915681
Stone_Villa,1935,142,North,Thatch,Low,Low,7.229291033,3.194841647,1.624318346,5665,76,14.3531672,10.67087799,13.90480493
Wooden_House,1921,59,South,Brick,Low,Low,6.466410478,2.020444094,1.549301386,12846,28,37.13143404,6.863108702,7.087265556
Wooden_House,1950,125,North,Thatch,High,High,4.617663537,3.570221555,0.960396609,11611,50,39.06449324,6.505844179,14.18819514
Stone_Villa,1811,143,North,Thatch,Medium,High,4.026614355,4.764540176,0.585641507,15400,90,39.75678572,10.77764585,18.18143486
Brick_Cottage,1954,154,West,Thatch,Medium,High,6.9188138,4.436232833,1.014577599,19605,28,33.69285321,11.90957655,14.18347289
Thatched_Hut,1906,50,East,Thatch,Medium,High,4.161209145,4.475634114,1.500403978,6079,32,29.90506208,8.898164131,9.394317317
Wooden_House,1928,182,West,Brick,Medium,High,6.917043156,4.385174053,0.653793797,13419,77,20.37190757,6.946341238,20.19795389
Thatched_Hut,1765,69,East,Timber,Low,Low,5.463060027,2.971192477,0.517876974,13340,22,15.14194937,7.789961731,11.3687935
Brick_Cottage,1774,57,East,Stone,Low,Low,5.126227135,4.295581501,0.709538559,6069,54,12.36941798,6.190912292,13.66450516
Brick_Cottage,1802,220,East,Thatch,High,High,7.112763115,2.429484073,1.57360389,10263,40,30.79892406,10.33321095,11.10554323
Brick_Cottage,1891,253,South,Timber,High,High,5.91540393,3.973148442,1.959190552,12951,83,33.54170246,10.41431812,23.80055964
Wooden_House,1951,50,West,Timber,Medium,High,5.806456029,3.9247057,1.974597049,17919,71,34.79360957,11.12584695,17.78592156
Brick_Cottage,1925,106,East,Brick,Low,Low,5.735063778,2.076709397,1.240968724,6363,53,37.4129501,5.186217945,14.35627757
Wooden_House,1993,113,North,Timber,Medium,High,4.984678064,4.363910401,1.804028451,9508,54,36.39788691,8.933869391,17.37764843
Brick_Cottage,1797,167,South,Brick,High,High,6.642572414,4.709744315,1.605239684,6755,34,39.99223817,6.49978804,15.83660918
Thatched_Hut,1985,261,West,Thatch,High,High,4.511193776,2.802245835,1.251560355,5519,25,17.32192033,7.386181108,10.42771438
Thatched_Hut,1948,77,East,Thatch,Medium,High,7.25557984,4.437172173,1.359140799,10463,51,32.89922846,10.49468931,19.79551905
Stone_Villa,1865,170,North,Stone,High,High,7.07594082,2.247217916,0.70584072,19722,71,27.59378537,6.344235567,22.09517132
Thatched_Hut,1729,156,West,Stone,Medium,High,4.849921303,3.799903575,1.906492191,16736,47,17.83735397,9.468392254,14.41435196
Stone_Villa,1946,214,West,Stone,Low,Low,6.417855079,3.456940596,1.027894656,15514,83,39.45715967,9.581963339,25.41310338
Thatched_Hut,1805,224,South,Timber,Medium,High,5.792892778,3.6377706,1.169223885,19688,98,36.93694314,11.6786574,18.85626118
Wooden_House,1750,278,West,Thatch,Low,Low,4.850597208,4.778615606,1.507490346,12233,97,13.85547005,10.4261265,19.74993442
Thatched_Hut,1780,253,South,Brick,Low,Low,7.454086592,4.613945742,1.000853707,6102,38,10.78475027,10.62544603,12.65646008
Stone_Villa,1832,214,East,Stone,High,High,3.600949383,4.355250972,0.881388741,5597,34,30.64992287,8.721205243,10.91841604
Stone_Villa,1984,98,South,Brick,High,High,4.510584122,2.821095373,1.44657409,18947,25,28.12391887,6.30746565,5.581910844
Brick_Cottage,1837,290,North,Brick,High,High,5.580296244,4.735455886,0.537476123,8273,92,38.07446872,7.97894356,21.43913717
Wooden_House,1883,169,South,Stone,Medium,High,5.587812014,2.292523077,1.581087668,17241,57,17.02015861,8.846427015,12.49456258
Thatched_Hut,1972,93,North,Thatch,Medium,High,5.8557323,4.55998765,1.271035055,10781,45,12.53163844,9.748934762,11.90952415
Brick_Cottage,1768,105,South,Stone,High,High,6.506704688,2.984480217,1.408630596,15797,70,17.77646001,9.253963783,20.49618855
Thatched_Hut,1733,205,West,Brick,Medium,High,5.993911322,2.161316935,1.447820239,11256,92,10.56782922,7.757844802,25.22708742
Thatched_Hut,1961,160,East,Stone,High,High,5.901125842,4.008070953,1.290575235,12258,72,11.07678254,6.857191749,19.58772695
Brick_Cottage,1752,256,North,Brick,Medium,High,3.714057852,2.693839785,1.373800666,15380,75,37.44573418,6.177615902,22.79558306
Brick_Cottage,1904,183,South,Brick,Low,Low,5.006121151,2.730713378,1.525682301,19212,78,20.56049748,9.856917704,17.88868637
Brick_Cottage,1825,157,South,Stone,Low,Low,4.428222959,2.918141499,1.629678271,18017,89,22.32427003,9.51779072,19.24073353
Brick_Cottage,1934,238,South,Timber,High,High,4.561480446,2.191054303,1.591178587,13780,97,10.55114964,9.81160726,19.70061906
Brick_Cottage,1742,197,West,Stone,Medium,High,5.717349897,2.531381433,1.804424687,11554,77,18.11565341,7.60769217,19.70908714
Thatched_Hut,1939,163,West,Timber,Medium,High,4.29802126,2.015418883,0.78416515,17664,32,34.14177951,6.836854758,6.838184685
Brick_Cottage,1810,127,North,Brick,Low,Low,4.675796404,3.336228563,1.101721954,14599,62,28.46472879,10.3180493,16.31570305
Wooden_House,1948,179,North,Brick,Low,Low,4.448338834,2.252766132,1.921694099,19157,95,32.61341803,10.41553177,24.05373347
Stone_Villa,1850,250,West,Timber,High,High,7.294011773,4.047957815,1.094885862,13002,70,23.41641222,8.189314618,17.73987159
Brick_Cottage,1882,86,North,Brick,Low,Low,7.278662929,2.706868554,0.687305115,9846,38,19.29187665,9.283328593,15.84352518
Brick_Cottage,1794,69,East,Timber,High,High,5.939766234,4.830722432,1.28816769,17914,40,24.4843028,7.61463765,12.97751859
Thatched_Hut,1707,75,East,Timber,Low,Low,7.198089875,4.613754882,0.664236459,16582,43,19.69213205,9.913630401,9.385526785
Brick_Cottage,1883,78,West,Brick,Low,Low,6.643250582,2.868322685,0.804279858,16632,45,35.1691329,10.85005118,13.46069092
Brick_Cottage,1980,50,North,Thatch,Medium,High,5.859791531,4.349646364,1.997478135,14821,64,18.93021147,9.817632941,17.4134347
Brick_Cottage,1894,168,South,Timber,Low,Low,3.525740846,4.409734714,1.312043958,14186,47,29.79290921,8.588078388,10.66083691
Thatched_Hut,1894,84,East,Stone,Low,Low,6.590065144,4.959689342,0.926087584,18871,48,14.10946667,8.210605716,8.460274159
Brick_Cottage,1854,247,West,Stone,High,High,6.309953366,3.793519961,1.992162432,9798,36,30.60599481,9.496237557,12.350685
Stone_Villa,1792,278,North,Brick,Low,Low,5.961014613,2.245897204,1.949838378,11605,87,37.39899135,9.758676241,26.64737288
Thatched_Hut,1859,294,West,Thatch,High,High,6.541697247,3.940511687,1.161108562,15251,63,28.25749464,8.911106105,16.76509672
Stone_Villa,1760,108,South,Brick,Low,Low,5.551688659,3.874939245,0.890604663,18467,80,26.7956614,9.374595926,23.64158209
Thatched_Hut,1821,118,East,Thatch,Low,Low,6.316333085,3.915051732,1.757599457,17764,87,38.83354804,5.676120777,26.65653307
Brick_Cottage,1750,210,West,Timber,High,High,7.240688347,2.921436944,1.573431075,7986,93,28.82189666,11.66235861,19.24418995
Stone_Villa,1976,290,West,Timber,Medium,High,5.003220063,4.579038755,1.530412153,5400,44,17.786513,10.53541145,13.05487826
Thatched_Hut,1704,228,West,Timber,High,High,6.33248734,4.878416549,1.839670612,7855,86,18.77173072,7.617495088,20.07457297
Wooden_House,1791,255,South,Timber,High,High,5.402751272,2.653137539,1.534125701,15416,21,31.15919928,8.939688277,5.731821161
Brick_Cottage,1869,61,West,Stone,High,High,6.197598607,2.264456474,0.925696915,8412,68,32.06309782,5.331271711,20.7082383
Thatched_Hut,1721,283,South,Stone,Medium,High,6.551573342,2.5836051,1.540794743,5056,89,19.10488695,5.288594698,24.35516361
Wooden_House,1700,69,South,Brick,Low,Low,3.681810002,4.461656418,0.958720267,13022,45,20.36031934,6.755588346,8.324782453
Thatched_Hut,1832,230,South,Thatch,High,High,6.086401776,4.029933904,1.638858469,6875,91,39.73169526,9.827911497,27.39523494
Wooden_House,1932,291,East,Timber,High,High,4.406964738,3.908142027,1.429621782,9543,46,13.05857649,10.96503423,13.02780561
Brick_Cottage,1711,265,East,Timber,Medium,High,6.180130151,3.205379405,0.616117328,9298,37,22.13935085,8.91430116,15.25489492
Stone_Villa,1745,92,West,Thatch,High,High,5.373320744,3.733483915,1.269253044,8768,73,11.87342594,8.724929177,14.89974932
Wooden_House,1733,175,West,Thatch,Low,Low,6.594210967,2.923622376,1.014951454,10752,20,34.63235086,7.816166737,13.59045738
Thatched_Hut,1777,275,East,Brick,Medium,High,3.993603261,3.431600238,0.992855949,9833,80,12.77037517,6.131185692,16.73277859
Brick_Cottage,1917,266,North,Thatch,Low,Low,6.005289407,4.379189085,1.403384454,17489,22,30.22022069,5.828478709,4.798668645
Wooden_House,1772,99,East,Timber,Low,Low,4.613882916,4.943724792,0.983487237,6353,87,11.69450272,10.32475833,21.44113395
Thatched_Hut,1981,78,South,Timber,Medium,High,6.911927981,4.797466771,1.665340622,15602,60,30.18565113,11.49252486,18.21110557
Thatched_Hut,1948,234,East,Timber,High,High,7.213534023,4.801597829,0.606187154,9987,56,35.29110841,8.207982515,17.67339127
Thatched_Hut,1746,88,South,Timber,Low,Low,7.485593175,3.206671205,1.490582379,11597,70,21.96464581,9.616119611,17.91497469
Wooden_House,1820,272,West,Timber,Low,Low,6.68402961,3.406369642,1.713792205,19691,34,25.6637948,11.40120356,5.749806277
Wooden_House,1913,233,North,Brick,Low,Low,6.514936282,4.116906189,1.509247535,9311,27,22.04625214,5.630795431,10.98190678
Wooden_House,1938,288,West,Timber,Low,Low,4.362003035,4.766575784,1.245843793,15794,57,19.01466276,10.39337017,12.57213991
Stone_Villa,1755,220,South,Brick,Medium,High,4.844028236,2.425982778,1.925460521,7934,75,34.09790202,9.317718191,19.57035471
Wooden_House,1806,227,South,Timber,Medium,High,5.362730167,2.912725591,0.949907735,5022,66,18.16007721,9.190460252,15.15249417
Wooden_House,1747,200,South,Stone,Low,Low,6.593524191,2.417740534,0.528751831,15394,29,31.68830273,7.047782999,15.5165971
Wooden_House,1760,221,North,Stone,High,High,7.15986346,3.83602559,1.147984057,6209,97,16.18591238,9.787253483,23.68216128
Stone_Villa,1725,87,East,Stone,Low,Low,4.2565564,2.918902991,0.549517904,15488,68,17.49561388,10.56358428,17.85748604
Wooden_House,1991,133,West,Stone,High,High,7.189469939,2.978323558,1.930905129,13940,60,20.09383488,5.790007155,20.8095865
Thatched_Hut,1956,200,West,Brick,Low,Low,6.282498609,2.212747878,0.814877069,5804,49,27.67469132,8.734650017,14.87778166
Wooden_House,1707,177,East,Brick,High,High,5.943082923,3.049388185,1.683390536,13325,24,23.63266957,5.708856267,4.113662344
Thatched_Hut,1812,175,West,Thatch,Low,Low,4.299365085,4.587489522,1.661858125,9416,90,32.35434429,11.10801814,16.50643013
Thatched_Hut,1952,94,North,Timber,High,High,3.722100131,2.699218436,0.82659335,15629,50,16.40701901,8.553457059,13.8144449
Thatched_Hut,1879,101,West,Stone,Low,Low,5.773859594,4.085562399,1.431839796,13625,71,10.32016864,10.65575982,13.77864606
Stone_Villa,1906,129,South,Brick,Low,Low,6.106062733,3.888885035,0.572118453,10141,42,33.29672415,7.576599464,14.06118116
Stone_Villa,1826,227,East,Timber,High,High,4.343125797,4.590453825,1.225361879,9968,67,34.64948002,5.875547588,14.88417319
Stone_Villa,1755,283,North,Timber,Medium,High,5.725824823,2.396863843,0.521970691,8671,59,11.78440489,5.290495131,12.48574263
Wooden_House,1913,173,East,Brick,High,High,6.925973611,4.932769881,1.88171582,16928,25,28.32722566,6.970567345,9.948006462
Thatched_Hut,1713,168,North,Stone,Medium,High,6.840263782,3.747885938,1.964129036,12292,57,21.34620352,6.709635903,20.3685197
Stone_Villa,1727,57,South,Thatch,Low,Low,7.209420722,4.986422457,0.83342415,12001,60,33.81686966,8.922463818,18.36460946
Stone_Villa,1777,291,East,Timber,High,High,4.963543238,4.734544178,0.812159052,17231,46,36.23243663,5.152171866,18.63606195
Wooden_House,1915,134,West,Thatch,High,High,4.77219829,2.664551816,1.630580265,7098,94,35.530113,8.64399381,27.60411023
Stone_Villa,1853,178,North,Stone,High,High,6.497704024,2.16848603,0.880069098,19511,88,33.31612742,7.742402194,19.71308428
Wooden_House,1713,296,East,Stone,Medium,High,5.22444962,2.766917281,1.842614839,16109,76,18.07156686,9.039855889,15.92334634
Brick_Cottage,1886,57,West,Thatch,Medium,High,3.850194656,3.582690947,1.360893704,13444,36,34.35668931,9.916922697,13.27730453
Stone_Villa,1706,206,East,Stone,Low,Low,4.631204523,2.514789101,1.026166435,10061,90,26.00435428,9.438643616,24.69594899
Brick_Cottage,1702,145,East,Timber,Medium,High,5.174329142,2.502379234,1.74904062,18026,66,11.58269844,11.89251059,14.75919974
Wooden_House,1810,151,East,Thatch,Medium,High,4.670065702,3.387780641,1.240110051,14321,98,23.7081655,5.967857407,28.04453859
Thatched_Hut,1937,54,North,Stone,Low,Low,4.828822284,2.099803914,1.867449371,8264,32,38.26473751,8.008159063,6.154975068
Stone_Villa,1938,288,West,Thatch,High,High,4.675103625,2.365664248,1.892021355,10435,30,36.63578049,7.973815157,8.402293386
Wooden_House,1973,135,South,Timber,High,High,3.665996669,3.247584018,0.748130228,13493,43,13.06792843,7.919372426,11.38753423
Thatched_Hut,1993,224,North,Stone,Low,Low,6.048378803,2.189389728,0.503485109,11691,92,32.32380057,9.646588744,22.42015082
Thatched_Hut,1926,83,North,Timber,High,High,5.889169681,3.190265169,1.97589641,15169,23,34.17378598,8.428796424,5.442233818
Brick_Cottage,1714,242,North,Stone,Medium,High,6.113533994,3.422018798,1.859206304,7763,65,18.14164565,8.622027919,14.82439683
Wooden_House,1891,104,South,Brick,Low,Low,4.269239584,3.353799842,0.583167854,9005,37,24.14825712,8.026491945,5.598618548
Thatched_Hut,1818,168,West,Stone,Low,Low,4.682618166,4.607524572,1.749551396,19603,62,31.32963824,11.94189623,16.91335412
Stone_Villa,1727,267,West,Thatch,Low,Low,5.978463708,3.590187365,1.186707399,8241,99,23.17124466,11.49292944,26.73519586
Stone_Villa,1901,220,West,Stone,High,High,5.898510274,3.403941387,0.888442408,8057,52,13.38390757,7.154069326,17.10557327
Brick_Cottage,1738,251,East,Timber,Low,Low,5.525321237,3.232127736,1.818119786,5550,29,31.17647334,5.781157473,12.5195212
Thatched_Hut,1972,207,East,Timber,Low,Low,4.901653,4.452870135,0.795000849,10574,92,37.34916069,10.87835307,22.06777391
Wooden_House,1930,163,East,Stone,Low,Low,7.151724019,4.685169812,1.920949999,10411,78,29.57454185,11.98019176,19.85759403
Stone_Villa,1785,259,South,Thatch,High,High,4.859080969,4.559727408,0.808432232,6587,50,33.21402246,7.048262258,10.71047852
Thatched_Hut,1825,194,East,Brick,Medium,High,5.322476626,4.020639734,1.420524782,15014,47,20.75087607,7.504494481,11.04559795
Thatched_Hut,1999,75,South,Thatch,Low,Low,6.212455324,2.412085238,0.834629502,10920,79,15.49594735,11.59143227,15.0148167
Brick_Cottage,1724,185,West,Brick,Medium,High,5.672085723,2.830609908,1.318502997,10260,22,29.28320985,9.977906626,11.38078455
Stone_Villa,1844,96,East,Timber,High,High,4.887543905,2.138189191,1.525962695,16409,74,19.83313618,7.069468322,21.96073092
Stone_Villa,1712,281,East,Thatch,High,High,5.242579162,4.792472225,0.785341896,16688,33,35.80220557,9.067325439,11.35727766
Wooden_House,1911,162,North,Brick,High,High,6.677923271,3.982395589,1.281328674,9409,77,13.6788415,11.60960706,20.06256478
Stone_Villa,1724,125,South,Stone,High,High,4.612516622,4.239088653,1.203589617,17471,34,23.00391099,10.68269175,5.48475877
Wooden_House,1767,268,West,Timber,Medium,High,4.069020959,2.934715219,0.606556132,10783,21,21.90182801,10.192829,7.471473915
Stone_Villa,1766,121,North,Stone,Low,Low,4.752652807,4.536960567,1.727461727,5712,43,38.14161561,10.15897418,14.78660334
Brick_Cottage,1932,138,North,Timber,High,High,6.898136862,2.778809851,1.003523601,15367,97,14.59404402,6.24614227,22.58692567
Stone_Villa,1808,95,West,Thatch,High,High,3.855958859,2.004931271,1.361873296,10406,83,10.29540475,10.77276867,14.83569701
Wooden_House,1845,245,North,Thatch,Medium,High,7.466784293,3.129244888,1.272176352,12990,90,17.14255638,6.932830427,25.83482691
Wooden_House,1810,82,South,Timber,Medium,High,5.664011596,3.712284443,1.269890757,12420,43,34.60830579,11.51256661,15.01941026
Brick_Cottage,1927,50,South,Timber,High,High,7.439382976,3.436114574,0.660833591,17264,46,16.27965448,7.552479937,17.03573377
Stone_Villa,1810,196,East,Timber,Low,Low,7.255985688,4.586228428,1.135223014,17041,56,17.22634191,11.00362278,17.53392895
Stone_Villa,1733,80,North,Thatch,Low,Low,5.311254857,2.316215858,1.178550139,11843,58,13.89696414,6.863634462,19.17634125
Brick_Cottage,1810,257,East,Brick,High,High,4.293964298,3.661470322,1.600464261,7433,82,31.4630861,8.601688556,16.89468038
Stone_Villa,1963,191,North,Stone,Medium,High,4.159539106,3.538938049,1.760028248,8301,98,12.07522572,5.748197068,17.60513039
Stone_Villa,1935,102,South,Stone,High,High,4.459957455,2.844178947,1.317473417,5270,45,19.93624907,9.620832321,9.669465084
Wooden_House,1782,97,South,Thatch,High,High,6.340530562,4.466684338,0.630174431,14986,84,18.4749618,10.85255493,15.93729223
Stone_Villa,1741,118,South,Stone,Medium,High,4.591799979,4.258545968,0.855274206,18098,23,26.65479189,10.02913097,7.786854114
Stone_Villa,1800,154,North,Timber,High,High,4.865701078,4.198577562,0.74740104,15654,48,31.91248795,8.662809591,14.82182647
Brick_Cottage,1705,139,South,Brick,High,High,5.295115216,4.628577435,0.686922595,17485,20,25.98629304,5.31581115,8.965910834
Brick_Cottage,1879,239,North,Stone,High,High,7.152930722,4.168353802,1.048848948,16586,69,37.93077979,11.53408705,16.45512728
Thatched_Hut,1981,269,East,Brick,Medium,High,4.257573672,2.695523875,0.844090253,6079,30,38.54327917,9.93842684,14.08366969
Wooden_House,1925,243,North,Timber,Low,Low,3.52010621,4.116688135,0.827454668,16070,93,20.84395985,10.22104967,15.61196279
Stone_Villa,1928,291,East,Stone,Low,Low,3.740385642,2.92310844,0.582039762,10322,78,33.33041129,10.56276403,17.17081468
Stone_Villa,1988,241,North,Thatch,Medium,High,7.119065367,2.726523951,0.526505067,18932,81,32.1640415,10.23420398,23.11902079
Thatched_Hut,1849,247,East,Brick,Low,Low,6.090065859,2.219010779,0.654152364,17915,55,36.78893775,8.087813149,18.77565334
Stone_Villa,1976,112,South,Timber,High,High,4.592162477,4.232085741,0.758296219,13795,75,23.43830921,10.13535281,16.77402704
Wooden_House,1897,122,East,Brick,Low,Low,4.208770004,4.133002886,1.146475593,10257,40,25.91419562,9.375187515,5.989865193
Thatched_Hut,1769,210,South,Stone,High,High,4.677066947,2.703498433,1.265780392,18733,32,22.47322941,10.97811434,9.970670338
Wooden_House,1811,218,South,Stone,Low,Low,3.959187709,4.24813705,0.710887877,12982,28,35.51130758,10.61721871,4.638227683
Thatched_Hut,1703,138,East,Thatch,Medium,High,7.266131641,4.753522649,1.137175012,18368,30,16.89106946,5.289620677,6.342806393
Thatched_Hut,1794,225,North,Timber,Low,Low,6.636824697,2.324086872,1.012623263,14777,94,17.19127235,7.652209632,23.80960485
