Authors;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Link;Abstract;Author Keywords;Document Type;Source;include;tracer;mechanisms_glomalin_etc;diversity_ecology;climate_action;new_methods;search;ecoregion_Bailey;landcover_8_clases_ESA;plant_functional_type;woody_herbaceous;plant_genus;plant_spp;plant_cv;needle_broad;symbiont_functional_type;symbiont_genus;symbiont_spp_isolate;method;label_pulse;label_chase;CO2_conc;pot_field;FACE;n;lat;long;colonization_perc;hypha_cm_g;temp_C;light_umol_m2_s;C_hypha_perc;C_hypha_perc_se;notes;soil-based_hyphalC;SOUNDBITE;;
[No author name available];8th International Conference on Sustainable Agriculture and Environment;2021;IOP Conference Series: Earth and Environmental Science;905;1;;;;993;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120415632&partnerID=40&md5=3e570ad9c187b03a9bf082471a273b24;"The proceedings contain 148 papers. The topics discussed include: the use of N HNO3 to determine copper and zinc levels in heavy-metal polluted tropical soils; allometric equation of local bamboo for estimating carbon sequestration of bamboo riparian forest; comparative effects of the combination of biofertilizer, NPK, and mycorrhizal application on maize production system; the importance of politics on precautionary principles' implementation in the environmental sector: cases and examples of Indonesia and Australia; determinants of environmental performance: evidence from the agriculture industry in Indonesian Stock Exchange; growth, carbohydrate accumulation, and productivity of local glutinous corn Bimapulut (Zea mays var. ceratina Kuleshov) after seed priming and coconut coir ash fertilizer application; the role of foreign ownership in the CSR performance of agriculture listed firms in Indonesia; and Buto character developing with utilization of firewood waste to eco-friendly eco-artworks.";;Conference Review;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reuter R., Ferlian O., Tarkka M., Eisenhauer N., Pritsch K., Simon J.;Tree species rather than type of mycorrhizal association drive inorganic and organic nitrogen acquisition in tree-tree interactions;2021;Tree physiology;41;11;;2096;2108;;10.1093/treephys/tpab059;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121970710&doi=10.1093%2ftreephys%2ftpab059&partnerID=40&md5=974490d231fa5f201713a29126517ae6;Mycorrhizal fungi play an important role for the nitrogen (N) supply of trees. The influence of different mycorrhizal types on N acquisition in tree-tree interactions is, however, not well understood, particularly with regard to the competition for growth-limiting N. We studied the effect of competition between temperate forest tree species on their inorganic and organic N acquisition in relation to their mycorrhizal type (i.e., arbuscular mycorrhiza or ectomycorrhiza). In a field experiment, we quantified net N uptake capacity from inorganic and organic N sources using 15N/13C stable isotopes for arbuscular mycorrhizal tree species (i.e., Acer pseudoplatanus L., Fraxinus excelsior L., and Prunus avium L.) as well as ectomycorrhizal tree species (i.e., Carpinus betulus L., Fagus sylvatica L., and Tilia platyphyllos Scop.). All species were grown in intra- and interspecific competition (i.e., monoculture or mixture). Our results showed that N sources were not used complementarily depending on a species' mycorrhizal association, but their uptake rather depended on the competitor, indicating species-specific effects. Generally, ammonium was preferred over glutamine and glutamine over nitrate. In conclusion, our findings suggest that the inorganic and organic N acquisition of the studied temperate tree species is less regulated by mycorrhizal association but rather by the availability of specific N sources in the soil as well as the competitive environment of different tree species. © The Author(s) 2021. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permission@oup.com.;"arbuscular mycorrhiza; competition; ectomycorrhiza; interspecific competition; intraspecific competition; nitrogen uptake";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irving T.B., Alptekin B., Kleven B., Ané J.-M.;A critical review of 25 years of glomalin research: a better mechanical understanding and robust quantification techniques are required;2021;New Phytologist;232;4;;1572;1581;;10.1111/nph.17713;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115407693&doi=10.1111%2fnph.17713&partnerID=40&md5=3b28e4f622cc27de219e75f503fd661b;"Arbuscular mycorrhizal fungi (AMF) are important contributors to both plant and soil health. Twenty-five years ago, researchers discovered ‘glomalin’, a soil component potentially produced by AMF, which was unconventionally extracted from soil and bound by a monoclonal antibody raised against Rhizophagus irregularis spores. ‘Glomalin’ can resist boiling, strong acids and bases, and protease treatment. Researchers proposed that ‘glomalin’ is a 60 kDa heat shock protein produced by AMF, while others suggested that it is a mixture of soil organic materials that are not unique to AMF. Despite disagreements on the nature of ‘glomalin’, it has been consistently associated with a long list of plant and soil health benefits, including soil aggregation, soil carbon storage and enhancing growth under abiotic stress. The benefits attributed to ‘glomalin’ have caused much excitement in the plant and soil health community; however, the mechanism(s) for these benefits have yet to be established. This review provides insights into the current understanding of the identity of ‘glomalin’, ‘glomalin’ quantification, and the associated benefits of ‘glomalin’. We invite the community to think more critically about how glomalin-associated benefits are generated. We suggest a series of experiments to test hypotheses regarding the nature of ‘glomalin’ and associated health benefits. © 2021 The Authors. New Phytologist © 2021 New Phytologist Foundation.";"arbuscular mycorrhizal fungi (AMF); glomalin; HSP60; soil aggregation; soil carbon storage; soil health";Review;Scopus;y;n;y;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;Whether GRSPs are specific compounds or fungal necromass, they have been associated with desired effects on soil and plant growth. ;;
Cui N., Zhao Y., Sun F., Wang M., Guo J., Shi L., Sun W., Zhang T.;Elevated temperature and nitrogen deposition did not affect the impacts of arbuscular mycorrhizal fungi on soil carbon or nitrogen stocks in atemperate meadow;2021;Ecological Indicators;131;;108209;;;;10.1016/j.ecolind.2021.108209;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115019118&doi=10.1016%2fj.ecolind.2021.108209&partnerID=40&md5=5191673717fd0555bedd46093488595b;"Arbuscular mycorrhizal (AM) fungi are key players in the soil carbon (C) and nitrogen (N) cycles; on the one hand, AM fungi have been influenced by global changes, while on the other hand, they are involved in shaping the future climate. However, few field studies have combined AM fungi with both elevated temperatures and N deposition to examine their potential combined effects on the stocks of soil C and N in temperate meadow ecosystems. A 5-year experiment was conducted to explore the effects of AM fungal reductions on soil C and N stocks under elevated temperatures and N deposition. The stock of soil C and N and the C:N ratio were measured. The results showed that AM fungi significantly reduced soil C stocks by 8.5% across all treatment combinations compared to the AM fungi suppression treatment, and slight soil C accumulation was detected across the five years. The response of the soil C stocks was not influenced by elevated temperatures and N deposition simultaneously. The soil N stocks in the treatments without AM fungal suppression were, on average, 9.7% lower across all treatments than those in the AM fungal suppression treatment. AM fungi, elevated temperatures, and N deposition did not affect the soil C:N ratio. The robust decreases in soil C and N stocks caused by AM fungi observed here, even when combined with other global changes, suggest that AM fungi might accelerate soil C losses in temperate meadow ecosystems; however, there is a strong potential for reduced soil N accumulations to mitigate the negative impact of increasing N deposition on the stability of grassland ecosystems under future global changes. Overall, our results highlight that the effect of AM fungi on soil C and N stocks has a high resistance to global warming and N deposition in temperate meadow ecosystems. © 2021 The Author(s)";"Carbon sequestration; Elevated temperature; Feedback; Global change; Mycorrhizal fungi; Nitrogen deposition";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeewani P.H., Luo Y., Yu G., Fu Y., He X., Van Zwieten L., Liang C., Kumar A., He Y., Kuzyakov Y., Qin H., Guggenberger G., Xu J.;Arbuscular mycorrhizal fungi and goethite promote carbon sequestration via hyphal-aggregate mineral interactions;2021;Soil Biology and Biochemistry;162;;108417;;;;10.1016/j.soilbio.2021.108417;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114690915&doi=10.1016%2fj.soilbio.2021.108417&partnerID=40&md5=075f2ae057ff21f70194a3e1010b3aff;"Goethite is known to contribute to the co-precipitation of rhizodeposits and thus benefit carbon (C) sequestration, while arbuscular mycorrhizal fungi (AMF) play significant role in soil organic C (SOC), however, the combined effect is less known. To address this paucity in knowledge, we compared the physicochemical stabilization and microbial mineralization of rhizodeposits from maize (Zea mays L.) and the rhizosphere priming effect (RPE) in soils with a combination of goethite addition and AMF inoculation. Here, we showed that compared to the control: i) Co-amendment of AMF and goethite resulted in a 0.6-fold decrease of rhizodeposit derived CO2, and a 2.8-fold larger allocation of rhizodeposits into macro-aggregates, most likely due to precipitation by goethite and macro-aggregate formation stimulated by AMF hyphae. Analyses using μ-FTIR confirmed the spatial distribution of polysaccharides overlapped with Fe–O minerals within macro-aggregates, supporting the concomitant processes of rhizodeposit stabilization and aggregate formation via hyphal-aggregate mineral interactions; ii) Inoculation with AMF accelerated SOC turnover by increasing the RPE (by 6.1 mg C kg−1 day−1, 74% increase) and rhizodeposit stabilization (by 6.2 mg C kg−1 soil day−1, 47% increase). The larger soil priming effect stimulated by AMF was associated with several genera including Solirubrobacter, Pseudomonas and Talaromyces, suggesting these hyper-symbionts were involved in nutrient acquisition (mining hypothesis). Our results enabled the comparison between rhizodeposit stabilization versus rhizodeposit and SOC mineralization, and highlighted the contributions of both goethite (abiotic contribution) and AMF (biotic contribution) to C accrual in a soil-plant system. © 2021";"13C natural abundance; AMF; Carbon sequestration; Rhizodeposition; Rhizosphere priming effects; Synchrotron-radiation-based spectro-microscopy";Article;Scopus;y;n;y;n;y;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fukasawa Y.;Ecological impacts of fungal wood decay types: A review of current knowledge and future research directions;2021;Ecological Research;36;6;;910;931;;10.1111/1440-1703.12260;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113320709&doi=10.1111%2f1440-1703.12260&partnerID=40&md5=6452dec565d5fd22f2322d64bcd1d77e;"I summarize current knowledge about the ecosystem functions of wood decomposition in forests with a particular focus on the effects of fungal wood decay types (traditionally categorized into white-, brown-, and soft-rot) on the community composition of saproxylic organisms, forest tree regeneration, and carbon sequestration. Deadwoods of different decay types show markedly different physicochemical and biological properties. High carbohydrate availability in white-rotted wood promotes the activities of nitrogen-fixing bacteria; thus white-rotted wood is a good dietary source for many wood-eating invertebrates. In contrast, brown-rotted wood is unattractive to saproxylic communities due to the high recalcitrance of accumulated lignin, low nutrient content, and low pH. Nevertheless, some species have adapted to these conditions and form distinctive communities on brown-rotted wood. Tree seedlings that are associated with brown-rotted wood are symbiotic with arbuscular and ericoid mycorrhizal fungal species, but not ectomycorrhizal species. Thus, the diversity of fungal communities associated with a variety of wood decay types produces habitat diversity for saproxylic communities and promotes biodiversity in forest ecosystems. Wood decay type also affects carbon sequestration in forests as brown-rotted wood might be more instrumental in soil organic matter accumulation than white-rotted wood. An important aspect of wood decay type is that the wood decay activities of fungi can have indirect long-lasting cascading impacts on forest biodiversity by altering the physicochemical properties of deadwood. Including the effects of wood decay type in ecological models is thus important for predicting the long-term dynamics of biodiversity, vegetation, and carbon cycling in forest ecosystems. © 2021 The Authors. Ecological Research published by John Wiley & Sons Australia, Ltd on behalf of The Ecological Society of Japan.";"carbon cycling; deadwood; ecological networks; forest biodiversity; wood decay fungi";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yagame T., Lallemand F., Selosse M.-A., Funabiki E., Yukawa T.;Mycobiont diversity and first evidence of mixotrophy associated with Psathyrellaceae fungi in the chlorophyllous orchid Cremastra variabilis;2021;Journal of Plant Research;134;6;;1213;1224;;10.1007/s10265-021-01337-w;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112758936&doi=10.1007%2fs10265-021-01337-w&partnerID=40&md5=7e63b674558ed3a51d1dcfcfe9c0348b;Mixotrophy (MX, also called partial mycoheterotrophy) in plants is characterized by isotopic abundances that differ from those of autotrophs. Previous studies have evaluated mycoheterotrophy in MX plants associated with fungi of similar ecological characteristics, but little is known about the differences in the relative abundances of 13C and 15N in an orchid species that associates with several different mycobionts species. Since the chlorophyllous orchid Cremastra variabilis Nakai associates with various fungi with different ecologies, we hypothesized that it may change its relative abundances of 13C and 15N depending on the associated mycobionts. We investigated mycobiont diversity in the chlorophyllous orchid C. variabilis together with the relative abundance of 13C and 15N and morphological underground differentiation (presence or absence of a mycorhizome with fungal colonization). Rhizoctonias (Tulasnellaceae, Ceratobasidiaceae, Sebacinales) were detected as the main mycobionts. High differences in δ13C values (– 34.7 to – 27.4 ‰) among individuals were found, in which the individuals associated with specific Psathyrellaceae showed significantly high relative abundance of 13C. In addition, Psathyrellaceae fungi were always detected on individuals with mycorhizomes. In the present study, MX orchid association with non-rhizoctonia saprobic fungi was confirmed, and the influence of mycobionts on morphological development and on relative abundance of 13C and 15N was discovered. Cremastra variabilis may increase opportunities to gain nutrients from diverse partners, in a bet-hedging plasticity that allows colonization of various environmental conditions. © 2021, The Botanical Society of Japan.;"Mycorhizomes; Mycorrhizae; Orchid morphology; Partial mycoheterotrophy; Psathyrellaceae; Rhizoctonias";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blagodatskaya E., Tarkka M., Knief C., Koller R., Peth S., Schmidt V., Spielvogel S., Uteau D., Weber M., Razavi B.S.;Bridging Microbial Functional Traits With Localized Process Rates at Soil Interfaces;2021;Frontiers in Microbiology;12;;625697;;;;10.3389/fmicb.2021.625697;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119081108&doi=10.3389%2ffmicb.2021.625697&partnerID=40&md5=81976782e1c859101d72a7c75ea582f8;In this review, we introduce microbially-mediated soil processes, players, their functional traits, and their links to processes at biogeochemical interfaces [e.g., rhizosphere, detritusphere, (bio)-pores, and aggregate surfaces]. A conceptual view emphasizes the central role of the rhizosphere in interactions with other biogeochemical interfaces, considering biotic and abiotic dynamic drivers. We discuss the applicability of three groups of traits based on microbial physiology, activity state, and genomic functional traits to reflect microbial growth in soil. The sensitivity and credibility of modern molecular approaches to estimate microbial-specific growth rates require further development. A link between functional traits determined by physiological (e.g., respiration, biomarkers) and genomic (e.g., genome size, number of ribosomal gene copies per genome, expression of catabolic versus biosynthetic genes) approaches is strongly affected by environmental conditions such as carbon, nutrient availability, and ecosystem type. Therefore, we address the role of soil physico-chemical conditions and trophic interactions as drivers of microbially-mediated soil processes at relevant scales for process localization. The strengths and weaknesses of current approaches (destructive, non-destructive, and predictive) for assessing process localization and the corresponding estimates of process rates are linked to the challenges for modeling microbially-mediated processes in heterogeneous soil microhabitats. Finally, we introduce a conceptual self-regulatory mechanism based on the flexible structure of active microbial communities. Microbial taxa best suited to each successional stage of substrate decomposition become dominant and alter the community structure. The rates of decomposition of organic compounds, therefore, are dependent on the functional traits of dominant taxa and microbial strategies, which are selected and driven by the local environment. Copyright © 2021 Blagodatskaya, Tarkka, Knief, Koller, Peth, Schmidt, Spielvogel, Uteau, Weber and Razavi.;"(bio)-pores; detritusphere; mycorrhizosphere; rhizosphere; soil aggregates; soil priming; statistical analysis of process locations; trophic interactions";Review;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prescott C.E., Vesterdal L.;Decomposition and transformations along the continuum from litter to soil organic matter in forest soils;2021;Forest Ecology and Management;498;;119522;;;;10.1016/j.foreco.2021.119522;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111542244&doi=10.1016%2fj.foreco.2021.119522&partnerID=40&md5=6eb3871563234f457e6f3df514cc528c;Until recently, the processes of litter decomposition and soil organic matter formation in forests have been studied in isolation, which has hindered the development of a comprehensive understanding of the entire process. The last decade has brought considerable progress in this scientific endeavour in response to the challenge to sequester atmospheric C in forest soils. In this paper we review key recent developments in this field and describe our current collective understanding of litter decomposition and transformation processes and pathways in forest ecosystems. Compelling evidence that most slow-cycling SOM has been microbially transformed forces us to rethink the standard technique of measuring mass remaining in litterbags during incubation to indicate litter decomposition rates. Rather than indicating the mass of litter that remains undecomposed, these measurements reflect the net outcome of two simultaneous processes: decomposition of plant material and accumulation of microbial and faunal transformation products. Measurement of both of these pools, rather than just the total mass of material in litterbags is necessary to understand decomposition processes. For example, the apparent retarding effect of available N on mass loss during late-stage decomposition may actually result from N promoting the production of microbial biomass and necromass, thereby increasing the accumulation of transformation products during late-stage decay. We recommend referring to the mass of material in litterbags as ‘net mass remaining’ or ‘residue mass’ rather than ‘litter mass’, to acknowledge its changing composition as decomposition proceeds. Decomposition pathways in forests with abundant detritivorous meso- and macrofauna remain poorly understood as a consequence of the inability of the litterbag technique to capture their influences (even with differing mesh sizes). Long-term studies monitoring the transformation of litter to faunal faecal material and subsequent transformations of this material are urgently needed. Roots and mycorrhizal fungal hyphae are important sources of SOM, including stable SOM. Fine roots (orders 1 and 2) decompose particularly slowly, as do some mycorrhizal hyphae, which has been attributed to cell-wall constituents such as lignins, melanin and glycoproteins. Convergence of mass loss curves of litters that initially decompose quickly and slowly indicates that leaf litter, root litter, and fungal residues with large labile contents can generate as much SOM as recalcitrant litters. Transformation of litter into SOM can follow many pathways, depending on characteristics of the site. Key site and soil properties influence the biotic community present and together determine the pathway that decomposition follows on that site. As such, litter transformations occur along a continuum between situations in which aboveground litter is mainly transformed into humus that accumulates on the soil surface, and situations in which partially decomposed litter is transferred to the mineral soil via bioturbation. Predicting the most likely decomposition pathway should inform decisions on how to measure and interpret the transformations that occur on a particular site. © 2021 The Authors;"Carbon sequestration; Dissolved organic carbon; Fungal hyphae; Microbial necromass; Root decomposition; Soil fauna";Review;Scopus;y;n;n;n;n;y;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braghiere R.K., Fisher J.B., Fisher R.A., Shi M., Steidinger B.S., Sulman B.N., Soudzilovskaia N.A., Yang X., Liang J., Peay K.G., Crowther T.W., Phillips R.P.;Mycorrhizal Distributions Impact Global Patterns of Carbon and Nutrient Cycling;2021;Geophysical Research Letters;48;19;e2021GL094514;;;;10.1029/2021GL094514;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116829059&doi=10.1029%2f2021GL094514&partnerID=40&md5=1a65347e431525d145ee14d31ced7575;"Most tree species predominantly associate with a single type of mycorrhizal fungi, which can differentially affect plant nutrient acquisition and biogeochemical cycling. Uncertainties in mycorrhizal distributions are non-trivial, and current estimates disagree in up to 50% over 40% of the land area, including tropical forests. Remote sensing capabilities for mycorrhizal detection show promise for refining these estimates further. Here, we address for the first time the impact of mycorrhizal distributions on global carbon and nutrient cycling. Using the state-of-the-art carbon-nitrogen economics within the Community Land Model version 5, we found Net Primary Productivity (NPP) increased throughout the 21st century by 20%; however, as soil nitrogen has progressively become limiting, the costs to NPP for nitrogen acquisition—that is, to mycorrhizae—have increased at a faster rate by 60%. This suggests that nutrient acquisition will increasingly demand a higher portion of assimilated carbon to support the same productivity. © 2021. The Authors.";"biogeochemistry; carbon cycling; climate change; Earth system modeling; mycorrhizae; nitrogen cycling";Article;Scopus;y;n;n;n;n;y;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;Using CLM5 (a type of Earth Systems Model) to explore C and N costs globally for plant functional types and symbionts;;;;
Salomon M.J., Watts-Williams S.J., McLaughlin M.J., Brien C.J., Jewell N., Berger B., Cavagnaro T.R.;Evaluation of commercial composts and potting mixes and their ability to support arbuscular mycorrhizal fungi with maize (Zea mays) as host plant;2021;Waste Management;134;;;187;196;;10.1016/j.wasman.2021.08.018;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113295358&doi=10.1016%2fj.wasman.2021.08.018&partnerID=40&md5=a323f5398e9a81bd14ec5afc9784adda;"The use of composts and potting mixes in food production systems is a promising way to counteract the effects of soil degradation and allows crop growth in soilless culture systems. Arbuscular mycorrhizal fungi (AMF) are a well-studied group of beneficial plant symbionts that have been shown to provide important ecosystem services. This study analysed the properties of nine commercial Australian potting mixes and composts and investigated whether they support colonization of maize plants with AMF in a plant growth bioassay. Physicochemical analyses showed highly variable properties between the substrates, with some extreme values that limited plant growth. DNA-based analysis revealed the presence of various plant pathogens, which was linked to inhibited plant growth in one substrate. Some substrates did not meet national quality standards, due to the concentrations of plant nutrients, heavy metals, or substrate maturity. Plant growth was mostly limited due to nitrogen immobilization, which required weekly fertilizer applications. Solid state 13C nuclear magnetic resonance spectroscopy gave insight into the decomposition state of the substrates. Plant roots in most substrates were well colonized with AMF (&gt;60% root length), regardless of most substrate properties. Root colonization was negatively affected in only one substrate, likely due to ammonium toxicity. Results of this study show that not all commercial substrates adhered to national quality standards. Potting mixes and composts can support high mycorrhizal root colonization when plant growth is otherwise not limited. © 2021 Elsevier Ltd";"AMF; Compost; Evaluation; Mycorrhiza; Potting mix; Potting soil";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liu H., Wu Y., Xu H., Ai Z., Zhang J., Liu G., Xue S.;Mechanistic understanding of interspecific interaction between a C4 grass and a C3 legume via arbuscular mycorrhizal fungi, as influenced by soil phosphorus availability using a 13C and 15N dual-labelled organic patch;2021;Plant Journal;108;1;;183;196;;10.1111/tpj.15434;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112389127&doi=10.1111%2ftpj.15434&partnerID=40&md5=1df7e5dcade180b260768234dab4ca6a;Arbuscular mycorrhizal fungi (AMF) can improve plant nutrient acquisition, either by directly supplying nutrients to plants or by promoting soil organic matter mineralization, thereby affecting interspecific plant relationships in natural communities. We examined the mechanism by which the addition of P affects interspecific interactions between a C4 grass (Bothriochloa ischaemum, a dominant species in natural grasslands) and a C3 legume (Lespedeza davurica, a subordinate species in natural grasslands) via AMF and plant growth, by continuous 13C and 15N labelling, combined with soil enzyme analyses. The results of 15N labelling revealed that P addition affected the shoot uptake of N via AMF by B. ischaemum and L. davurica differently. Specifically, the addition of P significantly increased the shoot uptake of N via AMF by B. ischaemum but significantly decreased that by L. davurica. Interspecific plant interactions via AMF significantly facilitated the plant N uptake via AMF by B. ischaemum but significantly inhibited that by L. davurica under P-limited soil conditions, whereas the opposite effect was observed in the case of excess P. This was consistent with the impact of interspecific plant interaction via AMF on arbuscular mycorrhizal (AM) benefit for plant growth. Our data indicate that the capability of plant N uptake via AMF is an important mechanism that influences interspecific relationships between C4 grasses and C3 legumes. Moreover, the effect of AMF on the activities of the soil enzymes responsible for N and P mineralization substantially contributed to the consequence of interspecific plant interaction via AMF for plant growth. © 2021 Society for Experimental Biology and John Wiley & Sons Ltd.;"15N; arbuscular mycorrhizal fungi (AMF); interspecific plant interaction; mycorrhizal growth response; P addition; plant nitrogen acquisition via AMF";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dantas de Paula M., Forrest M., Langan L., Bendix J., Homeier J., Velescu A., Wilcke W., Hickler T.;Nutrient cycling drives plant community trait assembly and ecosystem functioning in a tropical mountain biodiversity hotspot;2021;New Phytologist;232;2;;551;566;;10.1111/nph.17600;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111587913&doi=10.1111%2fnph.17600&partnerID=40&md5=84e3985b580cb7f7366f5b1016a3da2e;Community trait assembly in highly diverse tropical rainforests is still poorly understood. Based on more than a decade of field measurements in a biodiversity hotspot of southern Ecuador, we implemented plant trait variation and improved soil organic matter dynamics in a widely used dynamic vegetation model (the Lund-Potsdam-Jena General Ecosystem Simulator, LPJ-GUESS) to explore the main drivers of community assembly along an elevational gradient. In the model used here (LPJ-GUESS-NTD, where NTD stands for nutrient-trait dynamics), each plant individual can possess different trait combinations, and the community trait composition emerges via ecological sorting. Further model developments include plant growth limitation by phosphorous (P) and mycorrhizal nutrient uptake. The new model version reproduced the main observed community trait shift and related vegetation processes along the elevational gradient, but only if nutrient limitations to plant growth were activated. In turn, when traits were fixed, low productivity communities emerged due to reduced nutrient-use efficiency. Mycorrhizal nutrient uptake, when deactivated, reduced net primary production (NPP) by 61–72% along the gradient. Our results strongly suggest that the elevational temperature gradient drives community assembly and ecosystem functioning indirectly through its effect on soil nutrient dynamics and vegetation traits. This illustrates the importance of considering these processes to yield realistic model predictions. © 2021 The Authors. New Phytologist © 2021 New Phytologist Foundation;"dynamic vegetation model; mycorrhiza; nutrient cycling; plant community assembly; plant functional traits; tropical montane forests (TMF)";Article;Scopus;n;n;n;n;n;n;"(TITLE-ABS-KEY (mycorrhiza* AND ""carbon sequestration"") OR (mycorrhiza* AND ""13C fatty acids"") OR (mycorrhiza* AND 14C) OR (mycorrhiza* AND 13C) OR (mycorrhiza* AND npp) OR (mycorrhiza* AND “carbon stor*”))";tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
